id,lon,lat,angle,z_peak_first_copdem,z_peak_max_1km_copdem,x_peak_first_copdem,x_peak_max_1km_copdem,lu_peak_first_copdem,lu_peak_max_1km_copdem,z_peak_first_deltadtm,z_peak_max_1km_deltadtm,x_peak_first_deltadtm,x_peak_max_1km_deltadtm,lu_peak_first_deltadtm,lu_peak_max_1km_deltadtm,he,ev,doc,doc_used,x_doc,x_shoreline,ns,bs_deltadtm,bs_copdem,cs_deltadtm,cs_copdem,extraction_flag,tr_zone_width,coast_type_flag,veg_type,mdt,lu_trees,lu_shrub,lu_grass,lu_crop,lu_built,lu_barren,lu_snow,lu_water,lu_wet,lu_mangr,lu_moss,class_most,class_most_land
BOX_S44W066_0353,-64.181485,-42.842839,225.690067,94.56,94.56,100.0,100.0,Barren / sparse vegetation,Barren / sparse vegetation,85.4,85.4,100.0,100.0,Barren / sparse vegetation,Barren / sparse vegetation,82.27,1.99,11.68,11.68,-2126.6,-24.9,0.00654,0.68378,0.75827,0.04453,0.04864,0,23.2,Rocky,,0.6,0.0,0.58,39.35,0.0,0.0,50.81,0.0,9.26,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S44W066_0301,-64.395835,-42.520225,203.795531,27.17,69.35,250.0,975.0,Barren / sparse vegetation,Barren / sparse vegetation,49.5,55.34,775.0,900.0,Barren / sparse vegetation,Barren / sparse vegetation,76.78,337.95,,10.0,-522.8,77.1,0.02093,0.07093,0.16337,0.04782,0.05141,2,47.6,Sandy,,0.63,0.0,30.37,15.54,0.06,0.0,43.77,0.0,10.26,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S44W066_0247,-64.977177,-42.649089,135.250493,17.42,17.42,225.0,225.0,Shrubland,Shrubland,16.18,24.54,300.0,700.0,Shrubland,Barren / sparse vegetation,76.95,1393.54,,10.0,-1461.1,126.3,0.00769,0.09315,0.17598,0.01612,0.01757,2,106.4,Sandy,,0.63,0.0,7.42,14.25,0.0,0.28,68.06,0.0,9.98,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S44W066_0194,-64.629009,-42.918637,15.278332,83.96,83.96,300.0,300.0,Barren / sparse vegetation,Barren / sparse vegetation,44.74,81.82,50.0,925.0,Open water,Shrubland,78.71,64.21,11.67,11.67,-860.7,25.1,0.01558,1.79677,0.30948,0.06428,0.08423,0,45.7,Sandy,,0.6,0.0,35.75,17.92,0.0,0.04,37.03,0.0,9.26,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S44W066_0142,-64.522268,-43.083251,155.232278,46.04,57.36,125.0,850.0,Barren / sparse vegetation,Shrubland,44.91,57.58,50.0,850.0,Barren / sparse vegetation,Shrubland,65.9,185.77,11.67,11.67,-1684.7,25.1,0.00795,1.80364,0.46227,0.03373,0.03295,0,47.3,Sandy,,0.58,0.0,70.45,12.67,0.0,0.0,7.9,0.0,8.98,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W066_0090,-65.049655,-43.329511,107.140737,6.0,7.54,175.0,400.0,Barren / sparse vegetation,Built-up,5.08,5.58,175.0,300.0,Barren / sparse vegetation,Barren / sparse vegetation,3.3,1.34,11.66,6.38,-4000.0,51.1,0.00206,0.041,0.04866,0.00321,0.00343,3,46.4,Other,,0.55,0.0,43.61,1.78,0.01,10.96,30.47,0.0,13.17,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W066_0041,-65.34277,-43.69242,97.864065,57.29,,975.0,,Shrubland,,56.43,56.43,825.0,825.0,Shrubland,Shrubland,82.09,766.6,11.67,11.67,-1980.3,-37.5,0.00697,0.06543,0.05659,0.02494,0.02397,0,159.6,Rocky,,0.5,0.0,69.05,1.54,0.0,0.0,22.11,0.0,7.31,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S46W066_0228,-65.210466,-44.047926,141.224619,9.93,12.94,200.0,375.0,Grassland,Barren / sparse vegetation,2.55,10.91,50.0,375.0,Barren / sparse vegetation,Barren / sparse vegetation,7.37,8.2,11.67,11.67,-1128.8,26.8,0.01165,0.10984,0.05758,0.01359,0.01761,0,121.9,Sandy,,0.49,0.0,0.14,5.18,0.03,0.0,8.09,0.0,86.56,0.0,0.0,0.0,Open water,Barren / sparse vegetation
BOX_S46W066_0176,-65.283685,-44.420946,124.742064,7.83,35.14,-125.0,500.0,Barren / sparse vegetation,Shrubland,4.2,18.16,-150.0,550.0,Barren / sparse vegetation,Shrubland,45.17,625.1,11.69,11.69,-878.3,-301.2,0.02345,0.02775,0.05362,0.02434,0.02837,0,143.8,Sandy,,0.46,0.0,26.04,19.52,0.0,0.02,47.09,0.0,7.33,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S46W066_0135,-65.421518,-44.5732,194.518278,1.58,30.47,-125.0,775.0,Open water,Shrubland,6.71,22.59,-25.0,500.0,Barren / sparse vegetation,Grassland,33.71,148.88,11.81,11.81,-2587.0,-146.5,0.0056,0.05522,0.07133,0.00795,0.00619,0,163.7,Sandy,,0.44,0.0,40.46,25.27,0.0,0.0,25.76,0.0,8.51,0.0,0.0,0.0,Shrubland,Shrubland
